date,asian_bar_count,complete_28_bars,asian_high,asian_low
2023-01-01,0,False,,
2023-01-02,28,True,131.041,130.785
2023-01-03,28,True,130.903,129.507
2023-01-04,28,True,131.304,130.577
2023-01-05,28,True,132.623,131.681
2023-01-06,28,True,134.368,133.301
2023-01-08,0,False,,
2023-01-09,28,True,132.112,131.304
2023-01-10,28,True,132.221,131.38
2023-01-11,28,True,132.578,132.089
2023-01-12,28,True,132.034,131.364
2023-01-13,28,True,129.346,128.397
2023-01-15,0,False,,
2023-01-16,28,True,128.195,127.218
2023-01-17,28,True,129.155,128.297
2023-01-18,28,True,131.572,128.219
2023-01-19,28,True,128.69,127.757
2023-01-20,28,True,129.293,128.34
2023-01-22,0,False,,
2023-01-23,28,True,130.169,129.038
2023-01-24,28,True,130.728,130.039
2023-01-25,28,True,130.581,130.106
2023-01-26,28,True,129.587,129.02
2023-01-27,28,True,130.262,129.496
2023-01-29,0,False,,
2023-01-30,28,True,130.289,129.2
2023-01-31,28,True,130.504,130.059
2023-02-01,28,True,130.323,129.858
2023-02-02,28,True,128.787,128.173
2023-02-03,28,True,128.823,128.444
2023-02-05,0,False,,
2023-02-06,28,True,132.383,131.579
2023-02-07,28,True,132.623,132.025
2023-02-08,28,True,131.376,130.721
2023-02-09,28,True,131.824,130.759
2023-02-10,28,True,131.885,131.426
2023-02-12,0,False,,
2023-02-13,28,True,132.3,131.444
2023-02-14,28,True,132.372,131.784
2023-02-15,28,True,133.39,132.542
2023-02-16,28,True,134.164,133.634
2023-02-17,28,True,134.807,134.062
2023-02-19,0,False,,
2023-02-20,28,True,134.538,133.949
2023-02-21,28,True,134.511,134.148
2023-02-22,28,True,135.061,134.549
2023-02-23,28,True,134.959,134.702
2023-02-24,28,True,134.92,134.054
2023-02-26,0,False,,
2023-02-27,28,True,136.554,136.0
2023-02-28,28,True,136.371,136.11
2023-03-01,28,True,136.468,136.206
2023-03-02,28,True,136.744,136.049
2023-03-03,28,True,136.768,136.338
2023-03-05,0,False,,
2023-03-06,28,True,136.048,135.364
2023-03-07,28,True,136.175,135.829
2023-03-08,28,True,137.91,137.24
2023-03-09,28,True,137.254,136.602
2023-03-10,28,True,136.968,135.809
2023-03-12,0,False,,
2023-03-13,28,True,134.968,133.681
2023-03-14,28,True,134.028,133.025
2023-03-15,28,True,134.834,134.028
2023-03-16,28,True,133.492,132.499
2023-03-17,28,True,133.581,132.86
2023-03-19,0,False,,
2023-03-20,28,True,132.647,131.026
2023-03-21,28,True,131.72,131.029
2023-03-22,28,True,132.774,132.252
2023-03-23,28,True,131.244,130.416
2023-03-24,28,True,130.939,130.053
2023-03-26,0,False,,
2023-03-27,28,True,131.316,130.496
2023-03-28,28,True,131.238,130.502
2023-03-29,28,True,132.033,130.923
2023-03-30,28,True,132.807,132.328
2023-03-31,28,True,133.509,132.685
2023-04-02,0,False,,
2023-04-03,28,True,133.755,132.817
2023-04-04,28,True,132.979,132.207
2023-04-05,28,True,131.842,131.303
2023-04-06,28,True,131.492,130.774
2023-04-07,28,True,131.947,131.565
2023-04-09,0,False,,
2023-04-10,28,True,132.797,132.082
2023-04-11,28,True,133.69,133.224
2023-04-12,28,True,134.043,133.557
2023-04-13,28,True,133.374,132.98
2023-04-14,28,True,132.639,132.265
2023-04-16,0,False,,
2023-04-17,28,True,134.214,133.709
2023-04-18,28,True,134.703,134.245
2023-04-19,28,True,134.736,133.951
2023-04-20,28,True,134.972,134.384
2023-04-21,28,True,134.249,133.697
2023-04-23,0,False,,
2023-04-24,28,True,134.475,133.888
2023-04-25,28,True,134.479,134.003
2023-04-26,28,True,133.789,133.438
